NOM;L1;L2;L3;L4
CHOISIR LE CENTRE;L1;L2;L3;L4
BOVES;AMAZON EU SARL;Avenue du Superbe Orenoque;ZAC Jules Vernes - Secteur Est;Boves, Hauts-de-France, 80440
LAUWIN PLANQUE;AMAZON EU SARL;1, Rue Amazon;;Lauwin Planque, 59553
CHATRES;AMAZON EU SARL;Avenue Louis Renault;ZAC du Val Br�on;Ch�tres, 77610
SARAN;AMAZON EU SARL;1401 Rue du champ rouge;Pole 45;SARAN, France, 45770
SEVREY;AMAZON EU SARL;c/o Amazon.fr Logistique SAS;Distripole Chalon;SEVREY, France, 71100
SATOLAS-ET-BONCE;AMAZON EU SARL;Rue du Brisson, Batiment IDC9;Satolas,Parc des Chenes Nord;Satolas-et-Bonce, 38290
ARTENAY;AMAZON EU SARL;XPO Artenay NS 3PL;ZAC du Moulin;Artenay, 45410
MOISSY CRAMAYEL;AMAZON EU SARL;XFRH;Parc d�activit� de Chanteloup B�timent 8A;Moissy Cramayel, 77550
MONTELIMAR;AMAZON EU SARL;Building II;ZAC Les Portes de Provence;MONTELIMAR, France, 26200
