version=1.0.0;;;;;;;;;;;;;
asin;ean.value;ean#2.value;ean#3.value;ean#4.value;ean#5.value;ean#6.value;ean#7.value;ean#8.value;ean#9.value;ean#10.value;ean#11.value;ean#12.value;ean#13.value
B00JHY7X5U;4716659702238;;;;;;;;;;;;
B00CLB4ALG;0740617217285;0671536620699;0031112558431;0809199903167;9154401827443;5053973566412;;;;;;;
B00005AM7O;0193808109614;0193808109621;0193808109645;0193808109607;0193808109690;0193808109652;0193808109713;0193808109638;0725184518454;0193808109683;0193808109669;0193808109706;0193808109676
B009FY594O;8806085281035;;;;;;;;;;;;
B00IFE4VF8;4719331801120;;;;;;;;;;;;
B00BZF31UU;4716659345633;;;;;;;;;;;;
B00BPQQ11K;4712196718121;;;;;;;;;;;;
B009NR8XSC;4719072275914;;;;;;;;;;;;
B016A9X4MA;4713392188183;;;;;;;;;;;;
B01MTN9EMO;4712900533668;;;;;;;;;;;;
B00GI2IKEC;4718755046827;;;;;;;;;;;;
B00PUMDKR8;4719072370053;;;;;;;;;;;;
B005BQPR56;4719543181294;;;;;;;;;;;;
B009KZ4DK4;4716659284765;;;;;;;;;;;;
B00DX0V0KI;4719072305321;;;;;;;;;;;;
B0042IN8GY;4718755023835;;;;;;;;;;;;
B009L0VZAE;0885370412239;;;;;;;;;;;;
B0031ERR6C;3760084594594;;;;;;;;;;;;
B007KZQFFC;4719331807351;;;;;;;;;;;;
B004ZWV38W;4719331309107;;;;;;;;;;;;
B00519M4UY;4719331813147;;;;;;;;;;;;
B007MZY5WA;4716659165224;;;;;;;;;;;;
B007Z83KRU;5032037036085;;;;;;;;;;;;
B00EU8OF4A;4716659537908;;;;;;;;;;;;
B002LFQMW2;6935364054014;;;;;;;;;;;;
B008CNA37M;4948570112029;;;;;;;;;;;;
B00CE5DLYQ;4719072286279;;;;;;;;;;;;
B00XC81BZK;4719072386665;;;;;;;;;;;;
B004RHJH2E;4719331308131;;;;;;;;;;;;
B00CMYW68Q;4719072293666;;;;;;;;;;;;
B003DVC37Q;4895106252479;;;;;;;;;;;;
B00WKHCUPY;4712900027051;;;;;;;;;;;;
B07K23ZJFN;4713213514429;;;;;;;;;;;;
B00HS04K0G;0884102025167;4719512046166;;;;;;;;;;;
B000FKP2VW;5099206988842;5099206962262;;;;;;;;;;;
B000NDPHA2;5052178358518;0606449049428;;;;;;;;;;;
B000UP6U6I;;;;;;;;;;;;;
B007UMRDHE;4719072259280;;;;;;;;;;;;
B00O8OX4IE;4713147599516;;;;;;;;;;;;
B00UL2A520;4713147794447;;;;;;;;;;;;
B0085MAYN8;4716659150008;;;;;;;;;;;;
B006K2D60S;4719512034811;;;;;;;;;;;;
B007X89DXC;4716659198635;;;;;;;;;;;;
B006J420UE;0730143300858;;;;;;;;;;;;
B002AUJINI;0882224779838;;;;;;;;;;;;
B00913GHSQ;4948570111879;;;;;;;;;;;;
B009336N5Q;8806085288911;;;;;;;;;;;;
B00PUMZMOW;8714574625164;;;;;;;;;;;;
B014JESKYK;;;;;;;;;;;;;
B002PJMCGO;5051964775454;5099206015555;;;;;;;;;;;
B00T6DTD5K;4719072380786;;;;;;;;;;;;
B00ZU47WAM;4719331323301;;;;;;;;;;;;
B004RBYPN6;4719543178980;;;;;;;;;;;;
B007OCD3C4;4719543185179;;;;;;;;;;;;
B00C3VYTUQ;4716659355281;;;;;;;;;;;;
B006VHUNYE;4719543184974;;;;;;;;;;;;
B00IUBV3SO;4719331307165;;;;;;;;;;;;
B007YZ8NGC;4716659155874;;;;;;;;;;;;
B00WOSZ29A;4712900032789;;;;;;;;;;;;
B005C5GNT0;4719512030882;;;;;;;;;;;;
B007RS49EG;4716659171621;;;;;;;;;;;;
B00VM6RNGK;4719072390440;;;;;;;;;;;;
B00BB8RNG4;4719072282516;;;;;;;;;;;;
B071J22H1N;4713392914546;;;;;;;;;;;;
B074TZPMTK;4719331302566;;;;;;;;;;;;
B074GJCHY8;4058154234624;4712900765755;;;;;;;;;;;
B017STCOEA;8809213768439;;;;;;;;;;;;
B009QZH22E;0014445246886;5060301690282;0815671011039;;;;;;;;;;
B00YWD9ZZM;4716659919551;;;;;;;;;;;;
B077845YM5;4712900872576;;;;;;;;;;;;
B0118K7K4O;5055818245117;4053893720254;5054629254745;8978467406180;5425656752793;5054480704670;5055712395284;5053485880471;8978467382163;5099206028838;;;
B01IAGSD5O;0649528777195;0061822172634;6953040952300;;;;;;;;;;
B07FP11745;4719072587017;;;;;;;;;;;;
B01E5XNP5Y;4719512051672;0884102028205;4923143175434;;;;;;;;;;
B00JE3S8UI;8809213765971;;;;;;;;;;;;
B01ANEAUKW;4719072444938;;;;;;;;;;;;
B071YF8QZN;4719072515133;;;;;;;;;;;;
B07DBPDHS3;4719072575878;;;;;;;;;;;;
B01N7MLYPR;4719331846374;;;;;;;;;;;;
B00BDRQJUO;0085854225014;;;;;;;;;;;;
B001AE9T98;5032037008709;0735858202497;0675900982437;;;;;;;;;;
B00290GKJO;3610170001539;0168141426827;4719512015216;4719156343126;;;;;;;;;
B006J420T0;0730143301701;;;;;;;;;;;;
B005DKHLWC;4719072230814;;;;;;;;;;;;
B00C1XKGPI;4719072294328;;;;;;;;;;;;
B004GJWU5O;0606449074161;;;;;;;;;;;;
B007CFOT1W;0606449081275;;;;;;;;;;;;
B008PSEEM4;0606449086379;;;;;;;;;;;;
B01M0PCFLU;0763649098202;;;;;;;;;;;;
B00949CDBC;8809213764295;;;;;;;;;;;;
B01M191GRY;0815671012869;5060301693191;;;;;;;;;;;
B00XUDRZV6;0843591053235;0843591068741;;;;;;;;;;;
B002RL24KY;4260070122187;;;;;;;;;;;;
B072F2ZZ7R;0740617268249;;;;;;;;;;;;
B01KPFDBKA;4719072479947;;;;;;;;;;;;
B0046Y1622;8955620028106;7221444177841;0707137251007;5662252467915;0707137251045;0707137251021;7887117168525;0895562002810;0507991771211;5060301691470;7967907090202;7387809087757;7429501340362
B004QM6UZ2;3700085655207;;;;;;;;;;;;
B01GQ48RPS;0843591074148;;;;;;;;;;;;
B004JO3L40;0740617183085;;;;;;;;;;;;
B00K2RQAQY;7337331801086;4719331816575;0818313020536;;;;;;;;;;
B00CU4L6CU;4719331817251;;;;;;;;;;;;
B016WB2UBM;4719072425487;;;;;;;;;;;;
B0171MGNKU;4719072425081;;;;;;;;;;;;
B00E93GQ66;4716659495017;;;;;;;;;;;;
B00OG51SUQ;4719072368012;;;;;;;;;;;;
B01M5DCVED;4719072481360;;;;;;;;;;;;
B01MDMY2SW;4713392905902;;;;;;;;;;;;
B0105LEC16;;;;;;;;;;;;;
B014IN0MIY;4719072412500;;;;;;;;;;;;
B016EY4LL4;0889842015058;;;;;;;;;;;;
B00E9V7752;4719072302689;;;;;;;;;;;;
B00L222F1W;4719072334598;;;;;;;;;;;;
B01M072AXQ;4719072448158;;;;;;;;;;;;
B00HY7UJQW;4719072320225;;;;;;;;;;;;
B00ICIYY9U;4719072325923;;;;;;;;;;;;
B017TZT6WG;4712900210668;;;;;;;;;;;;
B00LW1RZAE;4716659788140;;;;;;;;;;;;
B00HRUHYEG;4716659649984;;;;;;;;;;;;
B00S63STY2;4719072378301;;;;;;;;;;;;
B0176GTG78;4712900174663;;;;;;;;;;;;
B01LXFXCV3;4713392722530;;;;;;;;;;;;
B0043GWGV8;5053460935639;6935364051501;;;;;;;;;;;
B014NH551E;4948570114290;;;;;;;;;;;;
B008YVOQ9S;4948570111701;;;;;;;;;;;;
B009SLM7LW;4712196373085;;;;;;;;;;;;
B00I8IJQGA;4716659664796;;;;;;;;;;;;
B00IKUDLMG;0730143304610;;;;;;;;;;;;
B00PTRSP0Q;4719072361891;;;;;;;;;;;;
B000N40U9O;3548383022792;6935364052010;;;;;;;;;;;
B009PV6U6I;4718755039706;;;;;;;;;;;;
B00O9RD426;5060301691678;;;;;;;;;;;;
B06X9KN5KR;4719072512323;;;;;;;;;;;;
B0778XYCBG;4719692018571;;;;;;;;;;;;
B07791TTHZ;4719692018595;;;;;;;;;;;;
B00S42WFNG;0735858288613;5032037067898;;;;;;;;;;;
B07FK4B45M;4719072573911;;;;;;;;;;;;
B00PJYY3FA;5060301691821;;;;;;;;;;;;
B00E5YO3U0;4716659553472;;;;;;;;;;;;
B000BUMSJU;8715946301266;8715946361208;;;;;;;;;;;
B00000JFB2;0088698229149;0999992344301;;;;;;;;;;;
B008JJLZ7G;0718037799667;;;;;;;;;;;;
B073XHML29;4719072513788;;;;;;;;;;;;
B01GYLXUJ6;7429501999980;4712900442250;;;;;;;;;;;
B01M053144;4719072476014;;;;;;;;;;;;
B07K2S2NBW;4718017106689;;;;;;;;;;;;
B00KC7ZY2U;4719331818258;0818313020635;;;;;;;;;;;
B018XOSE8O;4719072442309;;;;;;;;;;;;
B0757JMPG7;4719072528416;;;;;;;;;;;;
B01MZ20WQB;4712900581454;;;;;;;;;;;;
B075DH1VKR;4719072530761;;;;;;;;;;;;
B00ABS62C6;8886419331162;;;;;;;;;;;;
B072VJRG4W;4719331801748;;;;;;;;;;;;
B01JGQBMB4;4719072471736;;;;;;;;;;;;
B06XCC412D;4712900616576;;;;;;;;;;;;
B073QYWYN9;4719072513320;;;;;;;;;;;;
B06X9DF9GX;4719331801274;;;;;;;;;;;;
B00K80MMJ4;4053162745513;4716659745709;;;;;;;;;;;
B01GDVASLK;4712900246605;;;;;;;;;;;;
B00LUY72F6;0808112935292;0824142025536;7887117165968;0804904089051;2510071410410;0804067208382;8241420255362;0980103320383;0809394447947;4719072353988;;;
B00V5LZ1NY;6952987627524;4056572723928;0843591058476;;;;;;;;;;
B01H2AHDKU;4712900328868;;;;;;;;;;;;
B017XPPECI;0843591068543;;;;;;;;;;;;
B00K5J2252;5032037061193;;;;;;;;;;;;
B001OBQ5IA;0884420689744;5051395872210;0884962546154;;;;;;;;;;
B07DNG98QP;5032037131834;;;;;;;;;;;;
B006VCP9G6;0675901110532;5032037016797;0735858221924;;;;;;;;;;
B01JIQ82OW;4718755065507;;;;;;;;;;;;
B00RN3SISI;8809321847637;5060301692637;5054629764398;;;;;;;;;;
B009D79N3G;5053460769807;0843591029360;;;;;;;;;;;
B003CFATOW;6935364052171;;;;;;;;;;;;
B06XT3TVKP;4719072517151;;;;;;;;;;;;
B01M1GZ53Y;8886419317470;;;;;;;;;;;;
B0744J5XV3;4712900762921;;;;;;;;;;;;
B01NH0KLG6;4719331847333;;;;;;;;;;;;
B00D8XL3D4;4719072300913;;;;;;;;;;;;
B078CYN472;4719331802455;;;;;;;;;;;;
B01276MO7Q;4712900131178;;;;;;;;;;;;
B079M5JB84;4719692019677;;;;;;;;;;;;
B007C008L2;8809213763335;;;;;;;;;;;;
B01CZX6U3U;0740617250435;8809519472511;3646304946193;5057103062720;;;;;;;;;
B06ZY1LVYJ;4712900710113;;;;;;;;;;;;
B07K883GZC;4719072587116;;;;;;;;;;;;
B0002IPFBY;4000011442628;0606449035001;;;;;;;;;;;
B06XKSK3BG;0740617260687;;;;;;;;;;;;
B07J5QN8CK;4719072581619;;;;;;;;;;;;
B00ZANF3GI;7350041082675;;;;;;;;;;;;
B00RCHPKH2;0606449105810;;;;;;;;;;;;
B07KSYNM61;4719072595043;;;;;;;;;;;;
B00YUIM2J0;5099206057302;;;;;;;;;;;;
B014F9QHVC;5054629949825;4713392127663;;;;;;;;;;;
B01NBW12SV;4713392927454;;;;;;;;;;;;
B077QBHR9M;8886419344414;;;;;;;;;;;;
B075CQ5Z8R;4058154235782;4712900748017;;;;;;;;;;;
B00LMBQD3O;4056572724048;0843591052672;;;;;;;;;;;
B077T6QV18;4719072546908;;;;;;;;;;;;
B001PS4NRM;6935364021665;6935364020682;;;;;;;;;;;
B07DPCZGCR;;;;;;;;;;;;;
